 Time, $\theta_1$, $\theta_2$, Energy violation
  1.6917968750000000E+01, -7.7525192616689831E-01,  1.1812822749158625E+00,  8.8817841970012523E-16
  1.6921875000000000E+01, -7.6901301390495458E-01,  1.1789789426419377E+00,  8.8817841970012523E-16
  1.6925781250000000E+01, -7.6269421792421710E-01,  1.1765300894115889E+00,  8.8817841970012523E-16
  1.6929687500000000E+01, -7.5629556855209268E-01,  1.1739341248403825E+00,  1.1102230246251565E-15
  1.6933593750000000E+01, -7.4981705405768928E-01,  1.1711894453832339E+00,  8.8817841970012523E-16
  1.6937500000000000E+01, -7.4325861903791413E-01,  1.1682944333920229E+00,  1.1102230246251565E-15
  1.6941406250000000E+01, -7.3662016277221631E-01,  1.1652474560531119E+00,  1.1102230246251565E-15
  1.6945312500000000E+01, -7.2990153754361209E-01,  1.1620468641991690E+00,  1.1102230246251565E-15
  1.6949218750000000E+01, -7.2310254692331388E-01,  1.1586909909895005E+00,  8.8817841970012523E-16
  1.6953125000000000E+01, -7.1622294401594655E-01,  1.1551781504528809E+00,  8.8817841970012523E-16
  1.6957031250000000E+01, -7.0926242966197606E-01,  1.1515066358866308E+00,  8.8817841970012523E-16
  1.6960937500000000E+01, -7.0222065059359218E-01,  1.1476747181054274E+00,  1.1102230246251565E-15
  1.6964843750000000E+01, -6.9509719753988186E-01,  1.1436806435330411E+00,  6.6613381477509392E-16
  1.6968750000000000E+01, -6.8789160327669863E-01,  1.1395226321298686E+00,  1.1102230246251565E-15
  1.6972656250000000E+01, -6.8060334061617767E-01,  1.1351988751487756E+00,  6.6613381477509392E-16
  1.6976562500000000E+01, -6.7323182033036377E-01,  1.1307075327113649E+00,  1.1102230246251565E-15
  1.6980468750000000E+01, -6.6577638900290781E-01,  1.1260467311963520E+00,  6.6613381477509392E-16
  1.6984375000000000E+01, -6.5823632680225119E-01,  1.1212145604312509E+00,  6.6613381477509392E-16
  1.6988281250000000E+01, -6.5061084516914591E-01,  1.1162090706780421E+00,  6.6613381477509392E-16
  1.6992187500000000E+01, -6.4289908441076316E-01,  1.1110282694029217E+00,  6.6613381477509392E-16
  1.6996093750000000E+01, -6.3510011119300835E-01,  1.1056701178195940E+00,  6.6613381477509392E-16
  1.7000000000000000E+01, -6.2721291592200257E-01,  1.1001325271948872E+00,  6.6613381477509392E-16
  1.7003906250000000E+01, -6.1923641000499108E-01,  1.0944133549047219E+00,  6.6613381477509392E-16
  1.7007812500000000E+01, -6.1116942298021459E-01,  1.0885104002276569E+00,  6.6613381477509392E-16
  1.7011718750000000E+01, -6.0301069950451669E-01,  1.0824213998623664E+00,  1.1102230246251565E-15
  1.7015625000000000E+01, -5.9475889618666888E-01,  1.0761440231544743E+00,  8.8817841970012523E-16
  1.7019531250000000E+01, -5.8641257825357351E-01,  1.0696758670171778E+00,  6.6613381477509392E-16
  1.7023437500000000E+01, -5.7797021603565657E-01,  1.0630144505290409E+00,  6.6613381477509392E-16
  1.7027343750000000E+01, -5.6943018125689127E-01,  1.0561572091912441E+00,  1.1102230246251565E-15
